"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"Bosnia and Herzegovina";"2001";"MILLION KWH";"10327";""
"Bosnia and Herzegovina";"2000";"MILLION KWH";"10429";""
"Bosnia and Herzegovina";"1999";"MILLION KWH";"10547";""
"Bosnia and Herzegovina";"1998";"MILLION KWH";"9633";""
"Bosnia and Herzegovina";"1997";"MILLION KWH";"8765";""
"Bosnia and Herzegovina";"1996";"MILLION KWH";"7340";""
"Bosnia and Herzegovina";"1995";"MILLION KWH";"4401";""
"Botswana";"2005";"MILLION KWH";"971";""
"Botswana";"2004";"MILLION KWH";"1042";""
"Botswana";"2003";"MILLION KWH";"920";""
"Botswana";"2002";"MILLION KWH";"1050";""
"Botswana";"2001";"MILLION KWH";"1147";""
"Botswana";"2000";"MILLION KWH";"1114";""
"Botswana";"1999";"MILLION KWH";"1110";""
"Botswana";"1998";"MILLION KWH";"1092";""
"Botswana";"1997";"MILLION KWH";"925";""
"Botswana";"1996";"MILLION KWH";"807";""
"Botswana";"1995";"MILLION KWH";"1114";""
"Brazil";"2005";"MILLION KWH";"402938";""
"Brazil";"2004";"MILLION KWH";"387451";""
"Brazil";"2003";"MILLION KWH";"364339";""
"Brazil";"2002";"MILLION KWH";"345671";""
"Brazil";"2001";"MILLION KWH";"328509";""
"Brazil";"2000";"MILLION KWH";"348909";""
"Brazil";"1999";"MILLION KWH";"334716";""
"Brazil";"1998";"MILLION KWH";"321748";""
"Brazil";"1997";"MILLION KWH";"307980";""
"Brazil";"1996";"MILLION KWH";"291244";""
"Brazil";"1995";"MILLION KWH";"275601";""
"British Virgin Islands";"2005";"MILLION KWH";"45";""
"British Virgin Islands";"2004";"MILLION KWH";"45";""
"British Virgin Islands";"2003";"MILLION KWH";"45";""
"British Virgin Islands";"2002";"MILLION KWH";"40";""
"British Virgin Islands";"2001";"MILLION KWH";"45";""
"British Virgin Islands";"2000";"MILLION KWH";"45";""
"British Virgin Islands";"1999";"MILLION KWH";"45";""
"British Virgin Islands";"1998";"MILLION KWH";"45";""
"British Virgin Islands";"1997";"MILLION KWH";"45";""
"British Virgin Islands";"1996";"MILLION KWH";"45";""
"British Virgin Islands";"1995";"MILLION KWH";"45";""
"Brunei Darussalam";"2005";"MILLION KWH";"3264";""
"Brunei Darussalam";"2004";"MILLION KWH";"3236";""
"Brunei Darussalam";"2003";"MILLION KWH";"3169";""
"Brunei Darussalam";"2002";"MILLION KWH";"3036";""
"Brunei Darussalam";"2001";"MILLION KWH";"2910";""
"Brunei Darussalam";"2000";"MILLION KWH";"2842";""
