"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"Italy and San Marino";"1995";"MILLION KWH";"243086";""
"Jamaica";"2005";"MILLION KWH";"7526";""
"Jamaica";"2004";"MILLION KWH";"7217";""
"Jamaica";"2003";"MILLION KWH";"7146";""
"Jamaica";"2002";"MILLION KWH";"6934";""
"Jamaica";"2001";"MILLION KWH";"6656";""
"Jamaica";"2000";"MILLION KWH";"6631";""
"Jamaica";"1999";"MILLION KWH";"6609";""
"Jamaica";"1998";"MILLION KWH";"6480";""
"Jamaica";"1997";"MILLION KWH";"6255";""
"Jamaica";"1996";"MILLION KWH";"6038";""
"Jamaica";"1995";"MILLION KWH";"5829";""
"Japan";"2005";"MILLION KWH";"1102330";""
"Japan";"2004";"MILLION KWH";"1080333";""
"Japan";"2003";"MILLION KWH";"1051210";""
"Japan";"2002";"MILLION KWH";"1061530";""
"Japan";"2001";"MILLION KWH";"1042705";""
"Japan";"2000";"MILLION KWH";"1060846";""
"Japan";"1999";"MILLION KWH";"1041634";""
"Japan";"1998";"MILLION KWH";"1019835";""
"Japan";"1997";"MILLION KWH";"1037894";""
"Japan";"1996";"MILLION KWH";"1009351";""
"Japan";"1995";"MILLION KWH";"989880";""
"Jordan";"2005";"MILLION KWH";"9651";""
"Jordan";"2004";"MILLION KWH";"8970";""
"Jordan";"2003";"MILLION KWH";"8044";""
"Jordan";"2002";"MILLION KWH";"8130";""
"Jordan";"2001";"MILLION KWH";"7544";""
"Jordan";"2000";"MILLION KWH";"7375";""
"Jordan";"1999";"MILLION KWH";"7081";""
"Jordan";"1998";"MILLION KWH";"6745";""
"Jordan";"1997";"MILLION KWH";"6264";""
"Jordan";"1996";"MILLION KWH";"6058";""
"Jordan";"1995";"MILLION KWH";"5616";""
"Kazakhstan";"2005";"MILLION KWH";"67916";""
"Kazakhstan";"2004";"MILLION KWH";"66942";""
"Kazakhstan";"2003";"MILLION KWH";"63819";""
"Kazakhstan";"2002";"MILLION KWH";"58331";""
"Kazakhstan";"2001";"MILLION KWH";"55350";""
"Kazakhstan";"2000";"MILLION KWH";"51635";""
"Kazakhstan";"1999";"MILLION KWH";"47498";""
"Kazakhstan";"1998";"MILLION KWH";"52745";""
"Kazakhstan";"1997";"MILLION KWH";"52000";""
"Kazakhstan";"1996";"MILLION KWH";"58657";""
"Kazakhstan";"1995";"MILLION KWH";"66659";""
"Kenya";"2005";"MILLION KWH";"6003";""
"Kenya";"2004";"MILLION KWH";"5568";""
"Kenya";"2003";"MILLION KWH";"5185";""
"Kenya";"2002";"MILLION KWH";"4849";""
"Kenya";"2001";"MILLION KWH";"4611";""
"Kenya";"2000";"MILLION KWH";"4103";""
"Kenya";"1999";"MILLION KWH";"4525";""
"Kenya";"1998";"MILLION KWH";"4423";""
"Kenya";"1997";"MILLION KWH";"4244";""
"Kenya";"1996";"MILLION KWH";"4174";""
"Kenya";"1995";"MILLION KWH";"3747";""
"Kiribati";"2005";"MILLION KWH";"10";""
"Kiribati";"2004";"MILLION KWH";"10";""
"Kiribati";"2003";"MILLION KWH";"10";""
"Kiribati";"2002";"MILLION KWH";"10";""
"Kiribati";"2001";"MILLION KWH";"10";""
"Kiribati";"2000";"MILLION KWH";"10";""
"Kiribati";"1999";"MILLION KWH";"10";""
"Kiribati";"1998";"MILLION KWH";"11";""
"Kiribati";"1997";"MILLION KWH";"11";""
"Kiribati";"1996";"MILLION KWH";"8";""
"Kiribati";"1995";"MILLION KWH";"7";""
"Korea, Republic of";"2005";"MILLION KWH";"389390";""
"Korea, Republic of";"2004";"MILLION KWH";"368162";""
"Korea, Republic of";"2003";"MILLION KWH";"345192";""
"Korea, Republic of";"2002";"MILLION KWH";"331882";""
"Korea, Republic of";"2001";"MILLION KWH";"283024";""
"Korea, Republic of";"2000";"MILLION KWH";"264986";""
"Korea, Republic of";"1999";"MILLION KWH";"266840";""
"Korea, Republic of";"1998";"MILLION KWH";"240587";""
"Korea, Republic of";"1997";"MILLION KWH";"248653";""
"Korea, Republic of";"1996";"MILLION KWH";"227554";""
"Korea, Republic of";"1995";"MILLION KWH";"205102";""
"Korea,Dem.Ppl's.Rep.";"2005";"MILLION KWH";"22913";""
"Korea,Dem.Ppl's.Rep.";"2004";"MILLION KWH";"21974";""
"Korea,Dem.Ppl's.Rep.";"2003";"MILLION KWH";"21035";""
"Korea,Dem.Ppl's.Rep.";"2002";"MILLION KWH";"19777";""
"Korea,Dem.Ppl's.Rep.";"2001";"MILLION KWH";"20200";""
"Korea,Dem.Ppl's.Rep.";"2000";"MILLION KWH";"19400";""
"Korea,Dem.Ppl's.Rep.";"1999";"MILLION KWH";"18600";""
"Korea,Dem.Ppl's.Rep.";"1998";"MILLION KWH";"17000";""
"Korea,Dem.Ppl's.Rep.";"1997";"MILLION KWH";"32620";""
"Korea,Dem.Ppl's.Rep.";"1996";"MILLION KWH";"35000";""
"Korea,Dem.Ppl's.Rep.";"1995";"MILLION KWH";"36000";""
"Kuwait";"2005";"MILLION KWH";"43734";""
"Kuwait";"2004";"MILLION KWH";"41256";""
"Kuwait";"2003";"MILLION KWH";"39802";""
"Kuwait";"2002";"MILLION KWH";"36892";""
"Kuwait";"2001";"MILLION KWH";"34829";""
"Kuwait";"2000";"MILLION KWH";"32853";""
"Kuwait";"1999";"MILLION KWH";"32106";""
"Kuwait";"1998";"MILLION KWH";"30514";""
"Kuwait";"1997";"MILLION KWH";"27254";""
"Kuwait";"1996";"MILLION KWH";"26005";""
"Kuwait";"1995";"MILLION KWH";"24254";""
"Kyrgyzstan";"2005";"MILLION KWH";"16415";""
"Kyrgyzstan";"2004";"MILLION KWH";"16312";""
"Kyrgyzstan";"2003";"MILLION KWH";"15576";""
"Kyrgyzstan";"2002";"MILLION KWH";"13186";""
"Kyrgyzstan";"2001";"MILLION KWH";"14936";""
"Kyrgyzstan";"2000";"MILLION KWH";"15959";""
"Kyrgyzstan";"1999";"MILLION KWH";"13157";""
"Kyrgyzstan";"1998";"MILLION KWH";"11615";""
"Kyrgyzstan";"1997";"MILLION KWH";"12637";""
"Kyrgyzstan";"1996";"MILLION KWH";"13758";""
"Kyrgyzstan";"1995";"MILLION KWH";"12349";""
"Lao People's Dem. Rep.";"2005";"MILLION KWH";"3513";""
"Lao People's Dem. Rep.";"2004";"MILLION KWH";"3513";""
"Lao People's Dem. Rep.";"2003";"MILLION KWH";"3372";""
"Lao People's Dem. Rep.";"2002";"MILLION KWH";"3797";""
"Lao People's Dem. Rep.";"2001";"MILLION KWH";"3893";""
"Lao People's Dem. Rep.";"2000";"MILLION KWH";"3871";""
"Lao People's Dem. Rep.";"1999";"MILLION KWH";"2608";""
"Lao People's Dem. Rep.";"1998";"MILLION KWH";"1996";""
"Lao People's Dem. Rep.";"1997";"MILLION KWH";"1219";""
"Lao People's Dem. Rep.";"1996";"MILLION KWH";"1249";""
"Lao People's Dem. Rep.";"1995";"MILLION KWH";"1044";""
"Latvia";"2005";"MILLION KWH";"4905";""
"Latvia";"2004";"MILLION KWH";"4683";""
"Latvia";"2003";"MILLION KWH";"3979";""
"Latvia";"2002";"MILLION KWH";"3977";""
"Latvia";"2001";"MILLION KWH";"4281";""
"Latvia";"2000";"MILLION KWH";"4136";""
"Latvia";"1999";"MILLION KWH";"4110";""
"Latvia";"1998";"MILLION KWH";"5797";""
"Latvia";"1997";"MILLION KWH";"4501";""
"Latvia";"1996";"MILLION KWH";"3124";""
"Latvia";"1995";"MILLION KWH";"3979";""
"Lebanon";"2005";"MILLION KWH";"11125";""
"Lebanon";"2004";"MILLION KWH";"11054";""
"Lebanon";"2003";"MILLION KWH";"10547";""
"Lebanon";"2002";"MILLION KWH";"9660";""
"Lebanon";"2001";"MILLION KWH";"9750";""
"Lebanon";"2000";"MILLION KWH";"9668";""
"Lebanon";"1999";"MILLION KWH";"9353";""
"Lebanon";"1998";"MILLION KWH";"9704";""
"Lebanon";"1997";"MILLION KWH";"9125";""
"Lebanon";"1996";"MILLION KWH";"7492";""
"Lebanon";"1995";"MILLION KWH";"5573";""
"Liberia";"2005";"MILLION KWH";"335";""
"Liberia";"2004";"MILLION KWH";"330";""
"Liberia";"2003";"MILLION KWH";"320";""
"Liberia";"2002";"MILLION KWH";"320";""
"Liberia";"2001";"MILLION KWH";"320";""
"Liberia";"2000";"MILLION KWH";"310";""
"Liberia";"1999";"MILLION KWH";"310";""
"Liberia";"1998";"MILLION KWH";"504";""
"Liberia";"1997";"MILLION KWH";"495";""
"Liberia";"1996";"MILLION KWH";"488";""
"Liberia";"1995";"MILLION KWH";"486";""
"Libyan Arab Jamah.";"2005";"MILLION KWH";"22500";""
"Libyan Arab Jamah.";"2004";"MILLION KWH";"20202";""
"Libyan Arab Jamah.";"2003";"MILLION KWH";"18943";""
"Libyan Arab Jamah.";"2002";"MILLION KWH";"17351";""
"Libyan Arab Jamah.";"2001";"MILLION KWH";"16111";""
"Libyan Arab Jamah.";"2000";"MILLION KWH";"15496";""
"Libyan Arab Jamah.";"1999";"MILLION KWH";"14385";""
"Libyan Arab Jamah.";"1998";"MILLION KWH";"13528";""
"Libyan Arab Jamah.";"1997";"MILLION KWH";"12600";""
"Libyan Arab Jamah.";"1996";"MILLION KWH";"18300";""
"Libyan Arab Jamah.";"1995";"MILLION KWH";"18000";""
"Lithuania";"2005";"MILLION KWH";"14784";""
"Lithuania";"2004";"MILLION KWH";"19274";""
"Lithuania";"2003";"MILLION KWH";"19488";""
"Lithuania";"2002";"MILLION KWH";"17721";""
"Lithuania";"2001";"MILLION KWH";"14737";""
"Lithuania";"2000";"MILLION KWH";"11424";""
"Lithuania";"1999";"MILLION KWH";"13535";""
"Lithuania";"1998";"MILLION KWH";"17631";""
"Lithuania";"1997";"MILLION KWH";"14861";""
"Lithuania";"1996";"MILLION KWH";"16789";""
"Lithuania";"1995";"MILLION KWH";"13898";""
"Luxembourg";"2005";"MILLION KWH";"4135";""
"Luxembourg";"2004";"MILLION KWH";"4121";""
"Luxembourg";"2003";"MILLION KWH";"3620";""
"Luxembourg";"2002";"MILLION KWH";"3675";""
"Luxembourg";"2001";"MILLION KWH";"1242";""
"Luxembourg";"2000";"MILLION KWH";"1175";""
"Luxembourg";"1999";"MILLION KWH";"1043";""
"Luxembourg";"1998";"MILLION KWH";"1264";""
"Luxembourg";"1997";"MILLION KWH";"1161";""
"Luxembourg";"1996";"MILLION KWH";"1173";""
"Luxembourg";"1995";"MILLION KWH";"1181";""
"Macau (SAR)";"2005";"MILLION KWH";"2027";""
"Macau (SAR)";"2004";"MILLION KWH";"1956";""
"Macau (SAR)";"2003";"MILLION KWH";"1779";""
"Macau (SAR)";"2002";"MILLION KWH";"1671";""
"Macau (SAR)";"2001";"MILLION KWH";"1566";""
"Macau (SAR)";"2000";"MILLION KWH";"1571";""
"Macau (SAR)";"1999";"MILLION KWH";"1532";""
"Macau (SAR)";"1998";"MILLION KWH";"1539";""
"Macau (SAR)";"1997";"MILLION KWH";"1409";""
"Macau (SAR)";"1996";"MILLION KWH";"1372";""
"Macau (SAR)";"1995";"MILLION KWH";"1272";""
"Madagascar";"2005";"MILLION KWH";"1035";""
"Madagascar";"2004";"MILLION KWH";"990";""
"Madagascar";"2003";"MILLION KWH";"900";""
"Madagascar";"2002";"MILLION KWH";"790";""
"Madagascar";"2001";"MILLION KWH";"790";""
"Madagascar";"2000";"MILLION KWH";"780";""
"Madagascar";"1999";"MILLION KWH";"780";""
"Madagascar";"1998";"MILLION KWH";"785";""
"Madagascar";"1997";"MILLION KWH";"735";""
"Madagascar";"1996";"MILLION KWH";"681";""
"Madagascar";"1995";"MILLION KWH";"662";""
"Malawi";"2005";"MILLION KWH";"1273";""
"Malawi";"2004";"MILLION KWH";"1270";""
"Malawi";"2003";"MILLION KWH";"1177";""
"Malawi";"2002";"MILLION KWH";"1128";""
"Malawi";"2001";"MILLION KWH";"1103";""
"Malawi";"2000";"MILLION KWH";"1072";""
"Malawi";"1999";"MILLION KWH";"1032";""
"Malawi";"1998";"MILLION KWH";"877";""
"Malawi";"1997";"MILLION KWH";"876";""
"Malawi";"1996";"MILLION KWH";"874";""
"Malawi";"1995";"MILLION KWH";"859";""
"Malaysia";"2005";"MILLION KWH";"87299";""
"Malaysia";"2004";"MILLION KWH";"82282";""
"Malaysia";"2003";"MILLION KWH";"78427";""
"Malaysia";"2002";"MILLION KWH";"74196";""
"Malaysia";"2001";"MILLION KWH";"71384";""
"Malaysia";"2000";"MILLION KWH";"69210";""
"Malaysia";"1999";"MILLION KWH";"65189";""
"Malaysia";"1998";"MILLION KWH";"60671";""
"Malaysia";"1997";"MILLION KWH";"58675";""
"Malaysia";"1996";"MILLION KWH";"53000";""
"Malaysia";"1995";"MILLION KWH";"46656";""
"Maldives";"2005";"MILLION KWH";"160";""
"Maldives";"2004";"MILLION KWH";"160";""
"Maldives";"2003";"MILLION KWH";"141";""
"Maldives";"2002";"MILLION KWH";"126";""
"Maldives";"2001";"MILLION KWH";"116";""
"Maldives";"2000";"MILLION KWH";"104";""
"Maldives";"1999";"MILLION KWH";"93";""
"Maldives";"1998";"MILLION KWH";"82";""
"Maldives";"1997";"MILLION KWH";"71";""
"Maldives";"1996";"MILLION KWH";"63";""
"Maldives";"1995";"MILLION KWH";"57";""
"Mali";"2005";"MILLION KWH";"459";""
"Mali";"2004";"MILLION KWH";"455";""
"Mali";"2003";"MILLION KWH";"449";""
"Mali";"2002";"MILLION KWH";"417";""
"Mali";"2001";"MILLION KWH";"415";""
"Mali";"2000";"MILLION KWH";"412";""
"Mali";"1999";"MILLION KWH";"404";""
"Mali";"1998";"MILLION KWH";"398";""
"Mali";"1997";"MILLION KWH";"391";""
"Mali";"1996";"MILLION KWH";"335";""
"Mali";"1995";"MILLION KWH";"312";""
"Malta";"2005";"MILLION KWH";"2240";""
"Malta";"2004";"MILLION KWH";"2216";""
"Malta";"2003";"MILLION KWH";"2236";""
"Malta";"2002";"MILLION KWH";"2052";""
"Malta";"2001";"MILLION KWH";"1943";""
"Malta";"2000";"MILLION KWH";"1917";""
"Malta";"1999";"MILLION KWH";"1854";""
"Malta";"1998";"MILLION KWH";"1721";""
"Malta";"1997";"MILLION KWH";"1685";""
"Malta";"1996";"MILLION KWH";"1657";""
"Malta";"1995";"MILLION KWH";"1632";""
"Marshall Islands";"2005";"MILLION KWH";"100";""
"Marshall Islands";"2004";"MILLION KWH";"101";""
"Marshall Islands";"2003";"MILLION KWH";"96";""
"Marshall Islands";"2002";"MILLION KWH";"99";""
"Marshall Islands";"2001";"MILLION KWH";"91";""
"Marshall Islands";"2000";"MILLION KWH";"87";""
"Marshall Islands";"1999";"MILLION KWH";"79";""
"Marshall Islands";"1998";"MILLION KWH";"81";""
"Marshall Islands";"1997";"MILLION KWH";"78";""
"Marshall Islands";"1996";"MILLION KWH";"79";""
"Marshall Islands";"1995";"MILLION KWH";"78";""
"Martinique";"2005";"MILLION KWH";"1195";""
"Martinique";"2004";"MILLION KWH";"1190";""
"Martinique";"2003";"MILLION KWH";"1185";""
"Martinique";"2002";"MILLION KWH";"1180";""
"Martinique";"2001";"MILLION KWH";"1120";""
"Martinique";"2000";"MILLION KWH";"1115";""
"Martinique";"1999";"MILLION KWH";"1112";""
"Martinique";"1998";"MILLION KWH";"1080";""
"Martinique";"1997";"MILLION KWH";"1078";""
"Martinique";"1996";"MILLION KWH";"1019";""
"Martinique";"1995";"MILLION KWH";"976";""
"Mauritania";"2005";"MILLION KWH";"375";""
"Mauritania";"2004";"MILLION KWH";"336";""
"Mauritania";"2003";"MILLION KWH";"312";""
"Mauritania";"2002";"MILLION KWH";"264";""
"Mauritania";"2001";"MILLION KWH";"259";""
"Mauritania";"2000";"MILLION KWH";"234";""
"Mauritania";"1999";"MILLION KWH";"227";""
"Mauritania";"1998";"MILLION KWH";"210";""
"Mauritania";"1997";"MILLION KWH";"199";""
"Mauritania";"1996";"MILLION KWH";"186";""
"Mauritania";"1995";"MILLION KWH";"168";""
"Mauritius";"2005";"MILLION KWH";"2271";""
"Mauritius";"2004";"MILLION KWH";"2165";""
"Mauritius";"2003";"MILLION KWH";"2082";""
"Mauritius";"2002";"MILLION KWH";"1949";""
"Mauritius";"2001";"MILLION KWH";"1910";""
"Mauritius";"2000";"MILLION KWH";"1777";""
"Mauritius";"1999";"MILLION KWH";"1584";""
"Mauritius";"1998";"MILLION KWH";"1539";""
"Mauritius";"1997";"MILLION KWH";"1398";""
"Mauritius";"1996";"MILLION KWH";"1273";""
"Mauritius";"1995";"MILLION KWH";"1060";""
"Mexico";"2005";"MILLION KWH";"234895";"3"
"Mexico";"2004";"MILLION KWH";"224077";"3"
"Mexico";"2003";"MILLION KWH";"217867";"3"
"Mexico";"2002";"MILLION KWH";"214628";"3"
"Mexico";"2001";"MILLION KWH";"209159";"3"
"Mexico";"2000";"MILLION KWH";"203645";"3"
"Mexico";"1999";"MILLION KWH";"189895";"3"
"Mexico";"1998";"MILLION KWH";"181801";"3"
"Mexico";"1997";"MILLION KWH";"170445";"3"
"Mexico";"1996";"MILLION KWH";"162306";"3"
"Mexico";"1995";"MILLION KWH";"152360";"3"
"Moldova";"2005";"MILLION KWH";"3865";""
"Moldova";"2004";"MILLION KWH";"3617";""
"Moldova";"2003";"MILLION KWH";"3413";""
"Moldova";"2002";"MILLION KWH";"3233";""
"Moldova";"2001";"MILLION KWH";"3585";""
"Moldova";"2000";"MILLION KWH";"3310";""
"Moldova";"1999";"MILLION KWH";"4138";""
"Moldova";"1998";"MILLION KWH";"4584";""
"Moldova";"1997";"MILLION KWH";"5274";""
"Moldova";"1996";"MILLION KWH";"6117";""
"Moldova";"1995";"MILLION KWH";"6068";""
"Mongolia";"2005";"MILLION KWH";"3419";""
"Mongolia";"2004";"MILLION KWH";"3303";""
"Mongolia";"2003";"MILLION KWH";"3138";""
"Mongolia";"2002";"MILLION KWH";"3112";""
"Mongolia";"2001";"MILLION KWH";"3017";""
"Mongolia";"2000";"MILLION KWH";"2930";""
"Mongolia";"1999";"MILLION KWH";"2930";""
"Mongolia";"1998";"MILLION KWH";"2765";""
"Mongolia";"1997";"MILLION KWH";"2720";""
"Mongolia";"1996";"MILLION KWH";"2614";""
"Mongolia";"1995";"MILLION KWH";"2629";""
"Montserrat";"2005";"MILLION KWH";"21";""
"Montserrat";"2004";"MILLION KWH";"21";""
"Montserrat";"2003";"MILLION KWH";"21";""
"Montserrat";"2002";"MILLION KWH";"20";""
"Montserrat";"2001";"MILLION KWH";"12";""
"Montserrat";"2000";"MILLION KWH";"12";""
"Montserrat";"1999";"MILLION KWH";"15";""
"Montserrat";"1998";"MILLION KWH";"15";""
"Montserrat";"1997";"MILLION KWH";"18";""
"Montserrat";"1996";"MILLION KWH";"17";""
"Montserrat";"1995";"MILLION KWH";"17";""
"Morocco";"2005";"MILLION KWH";"19243";""
"Morocco";"2004";"MILLION KWH";"16459";""
"Morocco";"2003";"MILLION KWH";"15385";""
"Morocco";"2002";"MILLION KWH";"14188";""
"Morocco";"2001";"MILLION KWH";"15615";""
"Morocco";"2000";"MILLION KWH";"13715";""
"Morocco";"1999";"MILLION KWH";"13475";""
"Morocco";"1998";"MILLION KWH";"13774";""
"Morocco";"1997";"MILLION KWH";"13892";""
"Morocco";"1996";"MILLION KWH";"12407";""
"Morocco";"1995";"MILLION KWH";"12113";""
"Mozambique";"2005";"MILLION KWH";"13289";""
"Mozambique";"2004";"MILLION KWH";"11713";""
"Mozambique";"2003";"MILLION KWH";"10602";""
"Mozambique";"2002";"MILLION KWH";"12713";""
"Mozambique";"2001";"MILLION KWH";"8849";""
"Mozambique";"2000";"MILLION KWH";"8849";""
"Mozambique";"1999";"MILLION KWH";"7707";""
"Mozambique";"1998";"MILLION KWH";"6864";""
"Mozambique";"1997";"MILLION KWH";"1005";""
"Mozambique";"1996";"MILLION KWH";"425";""
"Mozambique";"1995";"MILLION KWH";"408";""
"Myanmar";"2005";"MILLION KWH";"6015";"4"
"Myanmar";"2004";"MILLION KWH";"5608";"4"
"Myanmar";"2003";"MILLION KWH";"5426";"4"
"Myanmar";"2002";"MILLION KWH";"5068";"4"
"Myanmar";"2001";"MILLION KWH";"4689";"4"
"Myanmar";"2000";"MILLION KWH";"5118";"4"
"Myanmar";"1999";"MILLION KWH";"4639";"4"
"Myanmar";"1998";"MILLION KWH";"4139";"4"
"Myanmar";"1997";"MILLION KWH";"4445";"4"
"Myanmar";"1996";"MILLION KWH";"3945";"4"
"Myanmar";"1995";"MILLION KWH";"4056";"4"
"Namibia";"2005";"MILLION KWH";"1709";""
"Namibia";"2004";"MILLION KWH";"1653";""
"Namibia";"2003";"MILLION KWH";"1559";""
"Namibia";"2002";"MILLION KWH";"1508";""
"Namibia";"2001";"MILLION KWH";"1417";""
"Namibia";"2000";"MILLION KWH";"1414";""
"Namibia";"1999";"MILLION KWH";"1209";""
"Namibia";"1998";"MILLION KWH";"1019";""
"Namibia";"1997";"MILLION KWH";"642";""
"Namibia";"1996";"MILLION KWH";"893";""
"Namibia";"1995";"MILLION KWH";"1171";""
"Nauru";"2005";"MILLION KWH";"32";""
"Nauru";"2004";"MILLION KWH";"32";""
"Nauru";"2003";"MILLION KWH";"32";""
"Nauru";"2002";"MILLION KWH";"30";""
"Nauru";"2001";"MILLION KWH";"30";""
"Nauru";"2000";"MILLION KWH";"33";""
"Nauru";"1999";"MILLION KWH";"33";""
"Nauru";"1998";"MILLION KWH";"32";""
"Nauru";"1997";"MILLION KWH";"32";""
"Nauru";"1996";"MILLION KWH";"32";""
"Nauru";"1995";"MILLION KWH";"32";""
"Nepal";"2005";"MILLION KWH";"2415";"2"
"Nepal";"2004";"MILLION KWH";"2345";"2"
"Nepal";"2003";"MILLION KWH";"2267";"2"
"Nepal";"2002";"MILLION KWH";"2123";"2"
"Nepal";"2001";"MILLION KWH";"1867";"2"
"Nepal";"2000";"MILLION KWH";"1659";"2"
"Nepal";"1999";"MILLION KWH";"1478";"2"
"Nepal";"1998";"MILLION KWH";"1250";"2"
"Nepal";"1997";"MILLION KWH";"1254";"2"
"Nepal";"1996";"MILLION KWH";"1209";"2"
"Nepal";"1995";"MILLION KWH";"1000";"2"
"Netherlands";"2005";"MILLION KWH";"100219";""
"Netherlands";"2004";"MILLION KWH";"100770";""
"Netherlands";"2003";"MILLION KWH";"96763";""
"Netherlands";"2002";"MILLION KWH";"96066";""
"Netherlands";"2001";"MILLION KWH";"93781";""
"Netherlands";"2000";"MILLION KWH";"89655";""
"Netherlands";"1999";"MILLION KWH";"86872";""
"Netherlands";"1998";"MILLION KWH";"91216";""
"Netherlands";"1997";"MILLION KWH";"86572";""
"Netherlands";"1996";"MILLION KWH";"85089";""
"Netherlands";"1995";"MILLION KWH";"80832";""
"Netherlands Antilles";"2005";"MILLION KWH";"1248";""
"Netherlands Antilles";"2004";"MILLION KWH";"1210";""
"Netherlands Antilles";"2003";"MILLION KWH";"1181";""
"Netherlands Antilles";"2002";"MILLION KWH";"1090";""
"Netherlands Antilles";"2001";"MILLION KWH";"1095";""
"Netherlands Antilles";"2000";"MILLION KWH";"1121";""
"Netherlands Antilles";"1999";"MILLION KWH";"1114";""
"Netherlands Antilles";"1998";"MILLION KWH";"1116";""
"Netherlands Antilles";"1997";"MILLION KWH";"1054";""
"Netherlands Antilles";"1996";"MILLION KWH";"1057";""
"Netherlands Antilles";"1995";"MILLION KWH";"1010";""
"New Caledonia";"2005";"MILLION KWH";"1883";""
"New Caledonia";"2004";"MILLION KWH";"1678";""
"New Caledonia";"2003";"MILLION KWH";"1758";""
"New Caledonia";"2002";"MILLION KWH";"1749";""
"New Caledonia";"2001";"MILLION KWH";"1729";""
"New Caledonia";"2000";"MILLION KWH";"1645";""
"New Caledonia";"1999";"MILLION KWH";"1620";""
"New Caledonia";"1998";"MILLION KWH";"1591";""
"New Caledonia";"1997";"MILLION KWH";"1524";""
"New Caledonia";"1996";"MILLION KWH";"1485";""
"New Caledonia";"1995";"MILLION KWH";"1415";""
"New Zealand";"2005";"MILLION KWH";"42956";"4"
"New Zealand";"2004";"MILLION KWH";"42794";"4"
"New Zealand";"2003";"MILLION KWH";"41249";"4"
"New Zealand";"2002";"MILLION KWH";"41108";"4"
"New Zealand";"2001";"MILLION KWH";"39434";"4"
"New Zealand";"2000";"MILLION KWH";"39223";"4"
"New Zealand";"1999";"MILLION KWH";"37587";"4"
"New Zealand";"1998";"MILLION KWH";"36301";"4"
"New Zealand";"1997";"MILLION KWH";"42130";"4"
"New Zealand";"1996";"MILLION KWH";"40461";"4"
"New Zealand";"1995";"MILLION KWH";"35387";"4"
"Nicaragua";"2005";"MILLION KWH";"2866";""
"Nicaragua";"2004";"MILLION KWH";"2822";""
"Nicaragua";"2003";"MILLION KWH";"2708";""
"Nicaragua";"2002";"MILLION KWH";"2553";""
"Nicaragua";"2001";"MILLION KWH";"2473";""
"Nicaragua";"2000";"MILLION KWH";"2288";""
"Nicaragua";"1999";"MILLION KWH";"2148";""
"Nicaragua";"1998";"MILLION KWH";"2153";""
"Nicaragua";"1997";"MILLION KWH";"1887";""
"Nicaragua";"1996";"MILLION KWH";"1904";""
"Nicaragua";"1995";"MILLION KWH";"1786";""
"Niger";"2005";"MILLION KWH";"250";""
"Niger";"2004";"MILLION KWH";"247";""
"Niger";"2003";"MILLION KWH";"245";""
"Niger";"2002";"MILLION KWH";"243";""
"Niger";"2001";"MILLION KWH";"240";""
"Niger";"2000";"MILLION KWH";"238";""
"Niger";"1999";"MILLION KWH";"236";""
"Niger";"1998";"MILLION KWH";"234";""
"Niger";"1997";"MILLION KWH";"233";""
"Niger";"1996";"MILLION KWH";"233";""
"Niger";"1995";"MILLION KWH";"232";""
"Nigeria";"2005";"MILLION KWH";"20468";""
"Nigeria";"2004";"MILLION KWH";"20224";""
"Nigeria";"2003";"MILLION KWH";"20183";""
"Nigeria";"2002";"MILLION KWH";"21544";""
"Nigeria";"2001";"MILLION KWH";"15453";""
"Nigeria";"2000";"MILLION KWH";"14727";""
"Nigeria";"1999";"MILLION KWH";"16089";""
"Nigeria";"1998";"MILLION KWH";"15081";""
"Nigeria";"1997";"MILLION KWH";"15338";""
"Nigeria";"1996";"MILLION KWH";"14991";""
"Nigeria";"1995";"MILLION KWH";"14483";""
"Niue";"2005";"MILLION KWH";"3";""
"Niue";"2004";"MILLION KWH";"3";""
"Niue";"2003";"MILLION KWH";"3";""
"Niue";"2002";"MILLION KWH";"3";""
"Niue";"2001";"MILLION KWH";"3";""
"Niue";"2000";"MILLION KWH";"3";""
"Niue";"1999";"MILLION KWH";"3";""
"Niue";"1998";"MILLION KWH";"3";""
"Niue";"1997";"MILLION KWH";"3";""
"Niue";"1996";"MILLION KWH";"3";""
"Niue";"1995";"MILLION KWH";"3";""
"Norway, Svlbd. J.Myn.Isl.";"2005";"MILLION KWH";"138108";""
"Norway, Svlbd. J.Myn.Isl.";"2004";"MILLION KWH";"110598";""
"Norway, Svlbd. J.Myn.Isl.";"2003";"MILLION KWH";"107405";""
"Norway, Svlbd. J.Myn.Isl.";"2002";"MILLION KWH";"130705";""
"Norway, Svlbd. J.Myn.Isl.";"2001";"MILLION KWH";"119727";""
"Norway, Svlbd. J.Myn.Isl.";"2000";"MILLION KWH";"140079";""
"Norway, Svlbd. J.Myn.Isl.";"1999";"MILLION KWH";"122722";""
"Norway, Svlbd. J.Myn.Isl.";"1998";"MILLION KWH";"117008";""
"Norway, Svlbd. J.Myn.Isl.";"1997";"MILLION KWH";"112461";""
"Norway, Svlbd. J.Myn.Isl.";"1996";"MILLION KWH";"105069";""
"Norway, Svlbd. J.Myn.Isl.";"1995";"MILLION KWH";"124470";""
"Oman";"2005";"MILLION KWH";"12648";""
"Oman";"2004";"MILLION KWH";"11499";""
"Oman";"2003";"MILLION KWH";"10714";""
